season,home_team_goal,away_team_goal,home_name,away_name
2010/2011,0,2,Arka Gdynia,Ruch Chorzów
2010/2011,2,0,P. Warszawa,Jagiellonia Białystok
2010/2011,4,2,Śląsk Wrocław,GKS Bełchatów
2010/2011,0,0,Jagiellonia Białystok,Legia Warszawa
2010/2011,0,0,Lechia Gdańsk,P. Warszawa
2010/2011,1,0,Lech Poznań,Ruch Chorzów
2010/2011,1,0,Wisła Kraków,Cracovia
2010/2011,1,2,Polonia Bytom,Polonia Bytom
2010/2011,1,0,Korona Kielce,Arka Gdynia
2010/2011,2,1,Widzew Łódź,Zagłębie Lubin
2010/2011,2,1,Lechia Gdańsk,Lech Poznań
2010/2011,2,0,Legia Warszawa,Wisła Kraków
2010/2011,3,1,Polonia Bytom,Śląsk Wrocław
2010/2011,4,0,Jagiellonia Białystok,Korona Kielce
2010/2011,0,2,GKS Bełchatów,Zagłębie Lubin
2010/2011,1,2,Cracovia,Widzew Łódź
2010/2011,0,3,Ruch Chorzów,P. Warszawa
2010/2011,2,1,Arka Gdynia,Polonia Bytom
2010/2011,1,2,Ruch Chorzów,Śląsk Wrocław
2010/2011,0,0,P. Warszawa,GKS Bełchatów
2010/2011,2,5,Arka Gdynia,Legia Warszawa
2010/2011,1,0,Widzew Łódź,Lechia Gdańsk
2010/2011,1,2,Polonia Bytom,Lech Poznań
2010/2011,0,3,Zagłębie Lubin,Wisła Kraków
2010/2011,1,0,Korona Kielce,Polonia Bytom
2010/2011,3,0,Cracovia,Jagiellonia Białystok
2010/2011,0,1,Śląsk Wrocław,Legia Warszawa
2010/2011,0,1,Widzew Łódź,Wisła Kraków
2010/2011,2,1,P. Warszawa,Zagłębie Lubin
2010/2011,2,0,Arka Gdynia,Polonia Bytom
2010/2011,0,1,Polonia Bytom,Korona Kielce
2010/2011,5,0,Lech Poznań,Cracovia
2010/2011,3,2,GKS Bełchatów,Ruch Chorzów
2010/2011,1,2,Lechia Gdańsk,Jagiellonia Białystok
2010/2011,4,0,Lech Poznań,Korona Kielce
2010/2011,1,2,Lechia Gdańsk,Zagłębie Lubin
2010/2011,4,0,Polonia Bytom,Widzew Łódź
2010/2011,0,2,Wisła Kraków,P. Warszawa
2010/2011,5,0,Śląsk Wrocław,Arka Gdynia
2010/2011,4,0,Legia Warszawa,Polonia Bytom
2010/2011,1,0,GKS Bełchatów,Cracovia
2010/2011,2,1,Jagiellonia Białystok,Ruch Chorzów
2010/2011,0,2,Legia Warszawa,GKS Bełchatów
2010/2011,2,0,Lechia Gdańsk,Śląsk Wrocław
2010/2011,2,0,Jagiellonia Białystok,Lech Poznań
2010/2011,2,1,Wisła Kraków,Polonia Bytom
2010/2011,1,0,Polonia Bytom,Ruch Chorzów
2010/2011,1,0,Korona Kielce,Cracovia
2010/2011,1,0,Zagłębie Lubin,Arka Gdynia
2010/2011,0,0,Widzew Łódź,P. Warszawa
2010/2011,1,2,Śląsk Wrocław,Lech Poznań
2010/2011,1,0,GKS Bełchatów,Lechia Gdańsk
2010/2011,1,3,P. Warszawa,Korona Kielce
2010/2011,1,1,Arka Gdynia,Widzew Łódź
2010/2011,2,0,Polonia Bytom,Zagłębie Lubin
2010/2011,2,3,Cracovia,Polonia Bytom
2010/2011,1,0,Ruch Chorzów,Legia Warszawa
2010/2011,2,1,Jagiellonia Białystok,Wisła Kraków
2010/2011,1,0,Polonia Bytom,GKS Bełchatów
2010/2011,2,2,Wisła Kraków,Korona Kielce
2010/2011,2,1,Zagłębie Lubin,Legia Warszawa
2010/2011,5,2,Widzew Łódź,Śląsk Wrocław
2010/2011,2,2,Lech Poznań,P. Warszawa
2010/2011,1,0,Arka Gdynia,Jagiellonia Białystok
2010/2011,1,0,Polonia Bytom,Ruch Chorzów
2010/2011,1,0,Lechia Gdańsk,Cracovia
2010/2011,2,1,Korona Kielce,Śląsk Wrocław
2010/2011,1,1,GKS Bełchatów,Wisła Kraków
2010/2011,2,1,Legia Warszawa,Lech Poznań
2010/2011,5,1,Lechia Gdańsk,Polonia Bytom
2010/2011,2,2,P. Warszawa,Polonia Bytom
2010/2011,2,0,Cracovia,Arka Gdynia
2010/2011,1,1,Ruch Chorzów,Widzew Łódź
2010/2011,2,0,Jagiellonia Białystok,Zagłębie Lubin
2010/2011,0,3,Legia Warszawa,Lechia Gdańsk
2010/2011,1,0,GKS Bełchatów,Lech Poznań
2010/2011,0,0,Wisła Kraków,Śląsk Wrocław
2010/2011,0,1,Polonia Bytom,Jagiellonia Białystok
2010/2011,0,1,Ruch Chorzów,Korona Kielce
2010/2011,0,0,Zagłębie Lubin,Cracovia
2010/2011,2,2,Polonia Bytom,Widzew Łódź
2010/2011,0,0,Arka Gdynia,P. Warszawa
2010/2011,2,2,Śląsk Wrocław,P. Warszawa
2010/2011,3,1,Korona Kielce,GKS Bełchatów
2010/2011,0,1,Widzew Łódź,Legia Warszawa
2010/2011,1,0,Lechia Gdańsk,Arka Gdynia
2010/2011,0,1,Lech Poznań,Zagłębie Lubin
2010/2011,1,0,Polonia Bytom,Wisła Kraków
2010/2011,2,3,Cracovia,Ruch Chorzów
2010/2011,3,0,Jagiellonia Białystok,Polonia Bytom
2011/2012,1,2,Cracovia,Korona Kielce
2011/2012,1,0,P. Warszawa,Lechia Gdańsk
2011/2012,3,0,Legia Warszawa,Zagłębie Lubin
2011/2012,0,5,Widzew Łódź,Lech Poznań
2011/2012,2,2,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok
2011/2012,2,1,Ruch Chorzów,GKS Bełchatów
2011/2012,1,1,Śląsk Wrocław,Polonia Bytom
2011/2012,1,1,Widzew Łódź,Wisła Kraków
2011/2012,3,0,GKS Bełchatów,Śląsk Wrocław
2011/2012,1,0,Lech Poznań,Korona Kielce
2011/2012,1,0,Podbeskidzie Bielsko-Biała,Cracovia
2011/2012,1,1,P. Warszawa,Polonia Bytom
2011/2012,0,1,Ruch Chorzów,Legia Warszawa
2011/2012,0,1,Widzew Łódź,Widzew Łódź
2011/2012,3,1,Wisła Kraków,Jagiellonia Białystok
2011/2012,0,1,Zagłębie Lubin,Lechia Gdańsk
2011/2012,0,0,Cracovia,P. Warszawa
2011/2012,1,2,Polonia Bytom,Ruch Chorzów
2011/2012,1,0,Jagiellonia Białystok,GKS Bełchatów
2011/2012,0,0,Lechia Gdańsk,Lech Poznań
2011/2012,2,0,Legia Warszawa,Widzew Łódź
2011/2012,1,2,Widzew Łódź,Wisła Kraków
2011/2012,1,0,Śląsk Wrocław,Podbeskidzie Bielsko-Biała
2011/2012,3,1,Zagłębie Lubin,Korona Kielce
2011/2012,2,1,GKS Bełchatów,Zagłębie Lubin
2011/2012,2,0,Polonia Bytom,Jagiellonia Białystok
2011/2012,0,2,Korona Kielce,Widzew Łódź
2011/2012,0,0,Lech Poznań,Legia Warszawa
2011/2012,0,1,Ruch Chorzów,P. Warszawa
2011/2012,1,0,Śląsk Wrocław,Lechia Gdańsk
2011/2012,1,0,Widzew Łódź,Cracovia
2011/2012,0,1,Wisła Kraków,Podbeskidzie Bielsko-Biała
2011/2012,1,0,Cracovia,Wisła Kraków
2011/2012,0,0,Jagiellonia Białystok,Legia Warszawa
2011/2012,2,2,Korona Kielce,GKS Bełchatów
2011/2012,0,0,Lechia Gdańsk,Widzew Łódź
2011/2012,0,4,Widzew Łódź,Ruch Chorzów
2011/2012,1,1,Podbeskidzie Bielsko-Biała,Polonia Bytom
2011/2012,1,0,P. Warszawa,Lech Poznań
2011/2012,1,5,Zagłębie Lubin,Śląsk Wrocław
2011/2012,3,0,GKS Bełchatów,Widzew Łódź
2011/2012,0,2,Jagiellonia Białystok,Śląsk Wrocław
2011/2012,3,0,Legia Warszawa,Lechia Gdańsk
2011/2012,0,0,Podbeskidzie Bielsko-Biała,Lech Poznań
2011/2012,2,0,Ruch Chorzów,Cracovia
2011/2012,0,0,Widzew Łódź,Korona Kielce
2011/2012,0,1,Wisła Kraków,Polonia Bytom
2011/2012,1,0,Zagłębie Lubin,P. Warszawa
2011/2012,2,1,Cracovia,GKS Bełchatów
2011/2012,4,1,Polonia Bytom,Zagłębie Lubin
2011/2012,1,0,Korona Kielce,Legia Warszawa
2011/2012,0,1,Lech Poznań,Widzew Łódź
2011/2012,1,0,Lechia Gdańsk,Ruch Chorzów
2011/2012,1,1,Widzew Łódź,Jagiellonia Białystok
2011/2012,0,1,Śląsk Wrocław,Wisła Kraków
2011/2012,2,1,P. Warszawa,Podbeskidzie Bielsko-Biała
2011/2012,1,1,GKS Bełchatów,Ruch Chorzów
2011/2012,0,2,Polonia Bytom,Śląsk Wrocław
2011/2012,0,2,Jagiellonia Białystok,Podbeskidzie Bielsko-Biała
2011/2012,0,0,Korona Kielce,Cracovia
2011/2012,4,0,Lech Poznań,Widzew Łódź
2011/2012,1,3,Lechia Gdańsk,P. Warszawa
2011/2012,1,0,Wisła Kraków,Widzew Łódź
2011/2012,0,4,Zagłębie Lubin,Legia Warszawa
2011/2012,3,2,Lech Poznań,Zagłębie Lubin
2011/2012,0,1,Lechia Gdańsk,Jagiellonia Białystok
2011/2012,0,0,Legia Warszawa,Cracovia
2011/2012,1,2,Widzew Łódź,Śląsk Wrocław
2011/2012,1,0,Podbeskidzie Bielsko-Biała,GKS Bełchatów
2011/2012,4,1,Ruch Chorzów,Korona Kielce
2011/2012,2,0,Widzew Łódź,Polonia Bytom
2011/2012,0,1,Wisła Kraków,P. Warszawa
2011/2012,1,1,Cracovia,Lechia Gdańsk
2011/2012,2,0,Polonia Bytom,Legia Warszawa
2011/2012,2,0,Korona Kielce,Jagiellonia Białystok
2011/2012,0,1,Lech Poznań,GKS Bełchatów
2011/2012,0,2,Widzew Łódź,P. Warszawa
2011/2012,1,1,Śląsk Wrocław,Ruch Chorzów
2011/2012,0,1,Widzew Łódź,Podbeskidzie Bielsko-Biała
2011/2012,2,2,Zagłębie Lubin,Wisła Kraków
2011/2012,0,0,Cracovia,Jagiellonia Białystok
2011/2012,1,1,GKS Bełchatów,Polonia Bytom
2011/2012,0,0,Widzew Łódź,Lechia Gdańsk
2011/2012,1,0,Podbeskidzie Bielsko-Biała,Zagłębie Lubin
2011/2012,1,2,P. Warszawa,Widzew Łódź
2011/2012,3,0,Ruch Chorzów,Lech Poznań
2011/2012,0,4,Śląsk Wrocław,Legia Warszawa
2011/2012,0,1,Wisła Kraków,Korona Kielce
2011/2012,1,3,Cracovia,Legia Warszawa
2011/2012,6,0,GKS Bełchatów,Podbeskidzie Bielsko-Biała
2011/2012,1,1,Polonia Bytom,Widzew Łódź
2011/2012,2,1,Jagiellonia Białystok,Lechia Gdańsk
2011/2012,2,2,Korona Kielce,Ruch Chorzów
2011/2012,1,1,P. Warszawa,Wisła Kraków
2011/2012,4,0,Śląsk Wrocław,Widzew Łódź
2011/2012,1,1,Zagłębie Lubin,Lech Poznań
2011/2012,0,2,Cracovia,Zagłębie Lubin
2011/2012,2,1,GKS Bełchatów,P. Warszawa
2011/2012,0,1,Jagiellonia Białystok,Ruch Chorzów
2011/2012,2,0,Korona Kielce,Podbeskidzie Bielsko-Biała
2011/2012,1,0,Lech Poznań,Polonia Bytom
2011/2012,0,2,Lechia Gdańsk,Wisła Kraków
2011/2012,2,0,Legia Warszawa,Widzew Łódź
2011/2012,2,2,Widzew Łódź,Śląsk Wrocław
2011/2012,2,2,Polonia Bytom,Lechia Gdańsk
2011/2012,2,2,Widzew Łódź,Cracovia
2011/2012,0,1,Podbeskidzie Bielsko-Biała,Legia Warszawa
2011/2012,4,1,P. Warszawa,Jagiellonia Białystok
2011/2012,1,2,Śląsk Wrocław,Korona Kielce
2011/2012,1,0,Widzew Łódź,GKS Bełchatów
2011/2012,0,0,Wisła Kraków,Lech Poznań
2011/2012,1,1,Zagłębie Lubin,Ruch Chorzów
2011/2012,2,2,GKS Bełchatów,Wisła Kraków
2011/2012,0,0,Polonia Bytom,Widzew Łódź
2011/2012,2,0,Jagiellonia Białystok,Lech Poznań
2011/2012,0,0,Lechia Gdańsk,Korona Kielce
2011/2012,0,0,Legia Warszawa,P. Warszawa
2011/2012,2,2,Ruch Chorzów,Podbeskidzie Bielsko-Biała
2011/2012,3,0,Śląsk Wrocław,Cracovia
2011/2012,1,0,Zagłębie Lubin,Widzew Łódź
2011/2012,1,3,Cracovia,Polonia Bytom
2011/2012,4,1,Jagiellonia Białystok,Widzew Łódź
2011/2012,3,0,Korona Kielce,P. Warszawa
2011/2012,2,0,Lech Poznań,Śląsk Wrocław
2011/2012,2,3,Lechia Gdańsk,Podbeskidzie Bielsko-Biała
2011/2012,1,1,Legia Warszawa,GKS Bełchatów
2011/2012,1,2,Widzew Łódź,Zagłębie Lubin
2011/2012,1,0,Ruch Chorzów,Wisła Kraków
2011/2012,1,3,GKS Bełchatów,Lechia Gdańsk
2011/2012,2,0,Polonia Bytom,Korona Kielce
2011/2012,3,1,Lech Poznań,Cracovia
2011/2012,0,1,Podbeskidzie Bielsko-Biała,Widzew Łódź
2011/2012,3,0,P. Warszawa,Śląsk Wrocław
2011/2012,1,2,Widzew Łódź,Ruch Chorzów
2011/2012,0,0,Wisła Kraków,Legia Warszawa
2011/2012,2,1,Zagłębie Lubin,Jagiellonia Białystok
2011/2012,3,1,Cracovia,Podbeskidzie Bielsko-Biała
2011/2012,1,0,Polonia Bytom,P. Warszawa
2011/2012,1,0,Jagiellonia Białystok,Wisła Kraków
2011/2012,2,2,Korona Kielce,Lech Poznań
2011/2012,0,1,Lechia Gdańsk,Zagłębie Lubin
2011/2012,2,0,Legia Warszawa,Ruch Chorzów
2011/2012,1,1,Widzew Łódź,Widzew Łódź
2011/2012,1,0,Śląsk Wrocław,GKS Bełchatów
2011/2012,2,0,GKS Bełchatów,Jagiellonia Białystok
2011/2012,0,2,Korona Kielce,Zagłębie Lubin
2011/2012,2,1,Lech Poznań,Lechia Gdańsk
2011/2012,1,1,Podbeskidzie Bielsko-Biała,Śląsk Wrocław
2011/2012,2,1,P. Warszawa,Cracovia
2011/2012,0,0,Ruch Chorzów,Polonia Bytom
2011/2012,1,1,Widzew Łódź,Legia Warszawa
2011/2012,3,2,Wisła Kraków,Widzew Łódź
2011/2012,0,0,Cracovia,Widzew Łódź
2011/2012,2,1,Jagiellonia Białystok,Polonia Bytom
2011/2012,1,1,Lechia Gdańsk,Śląsk Wrocław
2011/2012,0,1,Legia Warszawa,Lech Poznań
2011/2012,0,2,Widzew Łódź,Korona Kielce
2011/2012,1,3,Podbeskidzie Bielsko-Biała,Wisła Kraków
2011/2012,0,1,P. Warszawa,Ruch Chorzów
2011/2012,1,1,Zagłębie Lubin,GKS Bełchatów
2011/2012,0,2,GKS Bełchatów,Korona Kielce
2011/2012,3,0,Polonia Bytom,Podbeskidzie Bielsko-Biała
2011/2012,1,0,Lech Poznań,P. Warszawa
2011/2012,1,1,Legia Warszawa,Jagiellonia Białystok
2011/2012,2,2,Ruch Chorzów,Widzew Łódź
2011/2012,2,1,Śląsk Wrocław,Zagłębie Lubin
2011/2012,0,1,Widzew Łódź,Lechia Gdańsk
2011/2012,1,0,Wisła Kraków,Cracovia
2011/2012,0,2,Cracovia,Ruch Chorzów
2011/2012,2,0,Polonia Bytom,Wisła Kraków
2011/2012,0,2,Korona Kielce,Widzew Łódź
2011/2012,1,0,Lech Poznań,Podbeskidzie Bielsko-Biała
2011/2012,1,0,Lechia Gdańsk,Legia Warszawa
2011/2012,1,1,Widzew Łódź,GKS Bełchatów
2011/2012,0,4,P. Warszawa,Zagłębie Lubin
2011/2012,3,1,Śląsk Wrocław,Jagiellonia Białystok
2011/2012,0,3,GKS Bełchatów,Lech Poznań
2011/2012,1,1,Jagiellonia Białystok,Korona Kielce
2011/2012,1,1,Lechia Gdańsk,Cracovia
2011/2012,3,1,Legia Warszawa,Polonia Bytom
2011/2012,2,0,P. Warszawa,Widzew Łódź
2011/2012,0,0,Podbeskidzie Bielsko-Biała,Widzew Łódź
2011/2012,0,1,Ruch Chorzów,Śląsk Wrocław
2011/2012,1,0,Wisła Kraków,Zagłębie Lubin
2011/2012,2,2,GKS Bełchatów,Cracovia
2011/2012,2,1,Jagiellonia Białystok,Widzew Łódź
2011/2012,1,0,Legia Warszawa,Korona Kielce
2011/2012,1,1,Podbeskidzie Bielsko-Biała,P. Warszawa
2011/2012,2,1,Ruch Chorzów,Lechia Gdańsk
2011/2012,0,0,Widzew Łódź,Lech Poznań
2011/2012,0,1,Wisła Kraków,Śląsk Wrocław
2011/2012,2,1,Zagłębie Lubin,Polonia Bytom
2011/2012,1,0,Polonia Bytom,GKS Bełchatów
2011/2012,2,1,Jagiellonia Białystok,Cracovia
2011/2012,0,0,Korona Kielce,Wisła Kraków
2011/2012,3,0,Lech Poznań,Ruch Chorzów
2011/2012,0,0,Lechia Gdańsk,Widzew Łódź
2011/2012,1,2,Legia Warszawa,Śląsk Wrocław
2011/2012,1,0,Widzew Łódź,P. Warszawa
2011/2012,0,0,Zagłębie Lubin,Podbeskidzie Bielsko-Biała
2011/2012,2,1,Polonia Bytom,Lech Poznań
2011/2012,1,3,Widzew Łódź,Legia Warszawa
2011/2012,2,3,Podbeskidzie Bielsko-Biała,Korona Kielce
2011/2012,2,1,P. Warszawa,GKS Bełchatów
2011/2012,1,0,Ruch Chorzów,Jagiellonia Białystok
2011/2012,1,2,Śląsk Wrocław,Widzew Łódź
2011/2012,0,1,Wisła Kraków,Lechia Gdańsk
2011/2012,1,1,Zagłębie Lubin,Cracovia
2011/2012,0,1,Cracovia,Widzew Łódź
2011/2012,0,0,GKS Bełchatów,Widzew Łódź
2011/2012,3,2,Jagiellonia Białystok,P. Warszawa
2011/2012,2,1,Korona Kielce,Śląsk Wrocław
2011/2012,0,1,Lech Poznań,Wisła Kraków
2011/2012,2,1,Lechia Gdańsk,Polonia Bytom
2011/2012,1,2,Legia Warszawa,Podbeskidzie Bielsko-Biała
2011/2012,2,1,Ruch Chorzów,Zagłębie Lubin
2011/2012,0,1,Cracovia,Śląsk Wrocław
2011/2012,1,0,Korona Kielce,Lechia Gdańsk
2011/2012,4,1,Lech Poznań,Jagiellonia Białystok
2011/2012,1,1,Widzew Łódź,Polonia Bytom
2011/2012,0,1,Podbeskidzie Bielsko-Biała,Ruch Chorzów
2011/2012,2,1,P. Warszawa,Legia Warszawa
2011/2012,0,0,Widzew Łódź,Zagłębie Lubin
2011/2012,2,0,Wisła Kraków,GKS Bełchatów
2011/2012,0,2,GKS Bełchatów,Legia Warszawa
2011/2012,0,1,Polonia Bytom,Cracovia
2011/2012,1,0,Podbeskidzie Bielsko-Biała,Lechia Gdańsk
2011/2012,0,0,P. Warszawa,Korona Kielce
2011/2012,3,1,Śląsk Wrocław,Lech Poznań
2011/2012,4,2,Widzew Łódź,Jagiellonia Białystok
2011/2012,3,2,Wisła Kraków,Ruch Chorzów
2011/2012,2,1,Zagłębie Lubin,Widzew Łódź
2011/2012,0,3,Cracovia,Lech Poznań
2011/2012,3,1,Jagiellonia Białystok,Zagłębie Lubin
2011/2012,2,0,Korona Kielce,Polonia Bytom
2011/2012,0,0,Lechia Gdańsk,GKS Bełchatów
2011/2012,2,0,Legia Warszawa,Wisła Kraków
2011/2012,2,1,Widzew Łódź,Podbeskidzie Bielsko-Biała
2011/2012,3,1,Ruch Chorzów,Widzew Łódź
2011/2012,4,0,Śląsk Wrocław,P. Warszawa
2012/2013,2,1,Jagiellonia Białystok,Podbeskidzie Bielsko-Biała
2012/2013,4,0,Lech Poznań,Ruch Chorzów
2012/2013,1,3,Lechia Gdańsk,P. Warszawa
2012/2013,1,2,Piast Gliwice,Polonia Bytom
2012/2013,4,0,Legia Warszawa,Korona Kielce
2012/2013,2,1,Widzew Łódź,Śląsk Wrocław
2012/2013,2,1,Wisła Kraków,GKS Bełchatów
2012/2013,4,0,Pogoń Szczecin,Zagłębie Lubin
2012/2013,2,0,Polonia Bytom,GKS Bełchatów
2012/2013,2,2,Jagiellonia Białystok,Widzew Łódź
2012/2013,1,2,Lechia Gdańsk,Legia Warszawa
2012/2013,1,3,Piast Gliwice,Ruch Chorzów
2012/2013,0,3,Pogoń Szczecin,Śląsk Wrocław
2012/2013,2,0,P. Warszawa,Korona Kielce
2012/2013,0,1,Wisła Kraków,Lech Poznań
2012/2013,1,2,Zagłębie Lubin,Podbeskidzie Bielsko-Biała
2012/2013,0,1,GKS Bełchatów,Pogoń Szczecin
2012/2013,0,2,Polonia Bytom,Zagłębie Lubin
2012/2013,1,1,Korona Kielce,Wisła Kraków
2012/2013,1,2,Legia Warszawa,Jagiellonia Białystok
2012/2013,0,1,Podbeskidzie Bielsko-Biała,P. Warszawa
2012/2013,0,1,Ruch Chorzów,Lechia Gdańsk
2012/2013,1,3,Śląsk Wrocław,Piast Gliwice
2012/2013,0,1,Widzew Łódź,Lech Poznań
2012/2013,0,0,Jagiellonia Białystok,Korona Kielce
2012/2013,1,3,Lech Poznań,Legia Warszawa
2012/2013,2,0,Lechia Gdańsk,Widzew Łódź
2012/2013,1,0,Piast Gliwice,Podbeskidzie Bielsko-Biała
2012/2013,1,0,Pogoń Szczecin,Ruch Chorzów
2012/2013,1,1,P. Warszawa,Polonia Bytom
2012/2013,1,0,Wisła Kraków,Śląsk Wrocław
2012/2013,1,0,Zagłębie Lubin,GKS Bełchatów
2012/2013,1,1,GKS Bełchatów,Lechia Gdańsk
2012/2013,0,0,Polonia Bytom,Pogoń Szczecin
2012/2013,4,0,Korona Kielce,Piast Gliwice
2012/2013,1,0,Legia Warszawa,Widzew Łódź
2012/2013,2,3,Podbeskidzie Bielsko-Biała,Lech Poznań
2012/2013,0,1,P. Warszawa,Zagłębie Lubin
2012/2013,1,2,Ruch Chorzów,Wisła Kraków
2012/2013,3,3,Śląsk Wrocław,Jagiellonia Białystok
2012/2013,2,2,Jagiellonia Białystok,GKS Bełchatów
2012/2013,0,3,Lech Poznań,Śląsk Wrocław
2012/2013,2,2,Lechia Gdańsk,Zagłębie Lubin
2012/2013,3,0,Legia Warszawa,Ruch Chorzów
2012/2013,1,1,Piast Gliwice,P. Warszawa
2012/2013,2,0,Pogoń Szczecin,Podbeskidzie Bielsko-Biała
2012/2013,1,0,Widzew Łódź,Korona Kielce
2012/2013,1,3,Wisła Kraków,Polonia Bytom
2012/2013,1,3,GKS Bełchatów,Piast Gliwice
2012/2013,2,0,Polonia Bytom,Lechia Gdańsk
2012/2013,0,1,Korona Kielce,Lech Poznań
2012/2013,2,2,Podbeskidzie Bielsko-Biała,Widzew Łódź
2012/2013,2,0,P. Warszawa,Pogoń Szczecin
2012/2013,1,1,Ruch Chorzów,Jagiellonia Białystok
2012/2013,1,0,Śląsk Wrocław,Legia Warszawa
2012/2013,4,1,Zagłębie Lubin,Wisła Kraków
2012/2013,0,0,GKS Bełchatów,Wisła Kraków
2012/2013,1,0,Polonia Bytom,Piast Gliwice
2012/2013,3,2,Korona Kielce,Legia Warszawa
2012/2013,4,0,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok
2012/2013,1,1,P. Warszawa,Lechia Gdańsk
2012/2013,0,4,Ruch Chorzów,Lech Poznań
2012/2013,2,1,Śląsk Wrocław,Widzew Łódź
2012/2013,3,0,Zagłębie Lubin,Pogoń Szczecin
2012/2013,1,2,Polonia Bytom,Jagiellonia Białystok
2012/2013,1,1,Korona Kielce,Śląsk Wrocław
2012/2013,0,1,Lech Poznań,P. Warszawa
2012/2013,1,1,Lechia Gdańsk,Pogoń Szczecin
2012/2013,0,0,Legia Warszawa,GKS Bełchatów
2012/2013,1,1,Piast Gliwice,Zagłębie Lubin
2012/2013,3,0,Ruch Chorzów,Widzew Łódź
2012/2013,0,0,Wisła Kraków,Podbeskidzie Bielsko-Biała
2012/2013,0,0,GKS Bełchatów,Widzew Łódź
2012/2013,0,1,Polonia Bytom,Lech Poznań
2012/2013,3,2,Lechia Gdańsk,Korona Kielce
2012/2013,1,2,Podbeskidzie Bielsko-Biała,Legia Warszawa
2012/2013,0,2,Pogoń Szczecin,Piast Gliwice
2012/2013,1,2,P. Warszawa,Wisła Kraków
2012/2013,1,1,Ruch Chorzów,Śląsk Wrocław
2012/2013,2,1,Zagłębie Lubin,Jagiellonia Białystok
2012/2013,0,0,Lech Poznań,GKS Bełchatów
2012/2013,2,0,Jagiellonia Białystok,P. Warszawa
2012/2013,3,0,Legia Warszawa,Polonia Bytom
2012/2013,2,0,Piast Gliwice,Lechia Gdańsk
2012/2013,0,0,Widzew Łódź,Zagłębie Lubin
2012/2013,1,1,Śląsk Wrocław,Podbeskidzie Bielsko-Biała
2012/2013,2,0,Wisła Kraków,Pogoń Szczecin
2012/2013,2,1,Korona Kielce,Ruch Chorzów
2012/2013,0,2,GKS Bełchatów,Legia Warszawa
2012/2013,1,1,Jagiellonia Białystok,Polonia Bytom
2012/2013,1,1,Podbeskidzie Bielsko-Biała,Wisła Kraków
2012/2013,0,2,Pogoń Szczecin,Lechia Gdańsk
2012/2013,1,2,P. Warszawa,Lech Poznań
2012/2013,2,0,Śląsk Wrocław,Korona Kielce
2012/2013,2,0,Widzew Łódź,Ruch Chorzów
2012/2013,2,1,Zagłębie Lubin,Piast Gliwice
2012/2013,1,0,GKS Bełchatów,Śląsk Wrocław
2012/2013,3,1,Polonia Bytom,Widzew Łódź
2012/2013,0,0,Lechia Gdańsk,Wisła Kraków
2012/2013,1,1,Piast Gliwice,Jagiellonia Białystok
2012/2013,1,1,Podbeskidzie Bielsko-Biała,Korona Kielce
2012/2013,0,2,Pogoń Szczecin,Lech Poznań
2012/2013,1,2,P. Warszawa,Legia Warszawa
2012/2013,2,3,Zagłębie Lubin,Ruch Chorzów
2012/2013,1,0,Jagiellonia Białystok,Pogoń Szczecin
2012/2013,1,0,Korona Kielce,GKS Bełchatów
2012/2013,4,2,Lech Poznań,Lechia Gdańsk
2012/2013,2,0,Legia Warszawa,Zagłębie Lubin
2012/2013,1,3,Ruch Chorzów,Podbeskidzie Bielsko-Biała
2012/2013,2,1,Śląsk Wrocław,Polonia Bytom
2012/2013,3,2,Widzew Łódź,P. Warszawa
2012/2013,1,2,Wisła Kraków,Piast Gliwice
2012/2013,0,3,GKS Bełchatów,Ruch Chorzów
2012/2013,0,1,Polonia Bytom,Podbeskidzie Bielsko-Biała
2012/2013,2,3,Lechia Gdańsk,Jagiellonia Białystok
2012/2013,0,3,Piast Gliwice,Lech Poznań
2012/2013,1,1,Pogoń Szczecin,Widzew Łódź
2012/2013,2,2,P. Warszawa,Śląsk Wrocław
2012/2013,1,2,Wisła Kraków,Legia Warszawa
2012/2013,2,1,Zagłębie Lubin,Korona Kielce
2012/2013,2,2,Jagiellonia Białystok,Wisła Kraków
2012/2013,1,0,Korona Kielce,Polonia Bytom
2012/2013,3,1,Lech Poznań,Zagłębie Lubin
2012/2013,3,1,Legia Warszawa,Pogoń Szczecin
2012/2013,1,1,Podbeskidzie Bielsko-Biała,GKS Bełchatów
2012/2013,2,1,Ruch Chorzów,P. Warszawa
2012/2013,1,1,Śląsk Wrocław,Lechia Gdańsk
2012/2013,1,1,Widzew Łódź,Piast Gliwice
2012/2013,2,0,Polonia Bytom,Ruch Chorzów
2012/2013,0,1,Jagiellonia Białystok,Lech Poznań
2012/2013,1,2,Lechia Gdańsk,Podbeskidzie Bielsko-Biała
2012/2013,0,0,Piast Gliwice,Legia Warszawa
2012/2013,2,1,Pogoń Szczecin,Korona Kielce
2012/2013,0,1,P. Warszawa,GKS Bełchatów
2012/2013,1,0,Wisła Kraków,Widzew Łódź
2012/2013,4,0,Zagłębie Lubin,Śląsk Wrocław
2012/2013,2,0,GKS Bełchatów,Polonia Bytom
2012/2013,1,1,Korona Kielce,P. Warszawa
2012/2013,1,0,Lech Poznań,Wisła Kraków
2012/2013,1,0,Legia Warszawa,Lechia Gdańsk
